id,date,day,personnel,personnel*,POW
0,2022-02-25,2,2800,about,0
1,2022-02-27,4,4500,about,0
2,2022-03-01,6,5710,about,200
3,2022-03-02,7,5840,about,200
4,2022-03-04,9,9166,about,200
5,2022-03-05,10,10000,about,216
6,2022-03-06,11,11000,about,232
7,2022-03-07,12,11000,more,259
8,2022-03-08,13,12000,about,284
9,2022-03-09,14,12000,about,360
10,2022-03-12,17,12000,more,389
11,2022-03-14,19,12000,more,389
12,2022-03-15,20,13500,about,389
13,2022-03-16,21,13800,about,389
14,2022-03-17,22,14000,about,405
15,2022-03-18,23,14200,about,405
16,2022-03-19,24,14400,about,405
17,2022-03-20,25,14700,about,405
18,2022-03-22,27,15300,about,411
19,2022-03-23,28,15600,about,412
20,2022-03-24,29,15800,about,412
21,2022-03-26,31,16400,about,412
22,2022-03-27,32,16600,about,421
